seed_p,seed_q,steps,poincare_path_per_step,mean_disk_radius,max_disk_radius,turning_per_step,cycle_closure_distance,mean_tetra_entropy,mean_polar_weight,mean_base_balance,tetra_poincare_action_v0_8,action_rank_low_to_high
11,13,96,0.2112820486678548,0.10618153371036147,0.16870861147492716,0.9886284466281211,0.0,1.3086590793435728,0.22499703038617513,0.4046422788989857,0.4179682923535865,1
17,19,96,0.20609381677249214,0.10436435788189113,0.12959065414385817,1.0301279033296036,0.0,1.310310818854534,0.22460919983186398,0.3972604445111127,0.4188780528242941,2
5,7,96,0.26083733155818084,0.09856765153897189,0.18706391058566393,0.9536517015980244,0.0,1.3021554603120618,0.22712789835604108,0.38957783988536393,0.44909714750938073,3
59,61,96,0.2741418844577253,0.09909060132210534,0.19006650535500885,0.9238862272155046,0.0,1.3024380593499305,0.22413615201968407,0.3867943572840671,0.45432180543261774,4
3,5,96,0.25718195971227614,0.09853280205549851,0.18706391058566393,0.9938200502593241,0.0,1.3022638373915851,0.22830745223579516,0.3901183272476843,0.45562522087710344,5
29,31,96,0.29127424449898776,0.09696920348207748,0.1899001052857271,1.000922766685456,0.20782831942244723,1.3147446757623922,0.22682352663233626,0.3700934616762865,0.5847297749273552,6
41,43,96,0.3191668847487153,0.11183568198443701,0.1857633328280796,0.63130336777247,0.388491490904425,1.2947631548638574,0.2237071204723474,0.42712170365167546,0.645655198937688,7
71,73,96,0.3165172388842094,0.10522212002919899,0.1957066340634987,0.811385058617856,0.6078917384811358,1.2973008934084926,0.19740958278095724,0.3860373078103653,0.7778788418530698,8
