candidate_index,seed_p,seed_q,stopping_time_p,stopping_time_q,max_p,max_q,normalized_pair_action,parity_entropy_p,parity_entropy_q,pair_divergence,zeta_alignment_diagnostic,poincare_mean_radius,poincare_max_radius,poincare_mean_hyperbolic_radius,generation_depth_score,depth_rank_low_to_high
1,3,5,7,5,16,16,1.7307842270345393,0.863120568566631,0.7219280948873623,0.61129898096834,0.19158845849123193,0.47488098828621367,0.7049218282402387,1.0737106117369568,1.5663384061021843,1
3,11,13,14,9,52,40,2.4093455602791214,0.863120568566631,0.7642045065086203,0.9368254736367359,0.19842760746434981,0.45283631913286154,0.7011927657594362,1.0161201826282196,1.9756929005493091,2
2,5,7,5,16,16,52,2.332762072075899,0.7219280948873623,0.8960382325345575,1.504830536883587,0.16912479105653397,0.3998695861844514,0.6132336422204293,0.8624975424721794,2.0239315136683604,3
4,17,19,12,20,52,88,2.7145705799701214,0.8112781244591328,0.8812908992306927,1.0666827353024442,0.4087559018861537,0.4425480039775125,0.6919272082608927,0.9860726027435158,2.147966760715875,4
7,59,61,32,19,304,184,3.463949578553777,0.8960382325345575,0.8314743880097293,1.297433628854108,0.42068832425318015,0.4322133450576263,0.6984317576105155,0.969274509722369,2.514169580016732,5
8,71,73,102,115,9232,9232,5.7942036142619,0.9449382598624695,0.9469289678578605,1.2462865364013114,0.4068653406216068,0.5052672755246859,0.7066945058930076,1.1462521445336955,3.5444080173003574,6
6,41,43,109,29,9232,196,5.217482958609159,0.9483190833715305,0.8935711016541907,4.396185994044455,0.29886109096601116,0.35287136997434176,0.47654495517015594,0.7433638559181535,3.8455685876915098,7
5,29,31,18,106,88,9232,5.340566324146821,0.8524051786494786,0.9490651498811387,4.727289997975032,0.32353107269038817,0.34011659516457415,0.4707704888317625,0.7136498878317192,3.9037880777281213,8
