particle,derived_action,predicted_energy_mev,reference_energy_mev_scoring_only,relative_error_percent
electron,0.473691600121164569,0.511642050984471908,0.510998949999999952,0.125851723271
muon,0.424761179773672781,104.831769300436875,105.658379999999994,-0.782342772588
tau,0.39879083592299519,1767.50406963497903,1776.8599999999999,-0.52654291081
