hadron,composition,n_prime_product,sigma_n,R_sigma_over_n,harmonic_L,W_geometric_link,ramanujan_oi_residue,tetrahedral_or_boundary_factor,dimensionless_raw_score,dimensionless_score_relative_to_proton_structural_base,state_class,mev_prediction_claimed,benchmark_used
proton,u u d,45,78,1.7333333333333334,2.022222222222222,0.9888676251196249,1.0119707954884585,1.0030690833577305,3.5184221832351814,1.0,baryon_triplet,False,False
neutron,u d d,75,124,1.6533333333333333,1.7111111111111112,0.9888676251196249,1.011281202054136,1.0030690833577305,2.837785537841285,0.8065506042347503,baryon_triplet,False,False
lambda,u d s,105,192,1.8285714285714285,1.5777777777777777,0.9768466016893744,1.011698786590531,1.0,2.8512504293428775,0.810377572915698,baryon_triplet,False,False
sigma_plus,u u s,63,104,1.6507936507936507,1.888888888888889,0.9696699943649052,1.0115084353977373,1.0030690833577305,3.0677750594794295,0.8719178369488955,baryon_triplet,False,False
sigma_zero,u d s,105,192,1.8285714285714285,1.5777777777777777,0.9768466016893744,1.011698786590531,1.0,2.8512504293428775,0.810377572915698,baryon_triplet,False,False
xi_zero,u s s,147,228,1.5510204081632653,1.4444444444444446,0.9696699943649052,1.0105617090898615,1.0030690833577305,2.2020947185242834,0.6258756351119473,baryon_triplet,False,False
omega_minus,s s s,343,400,1.1661807580174928,1.0,1.0,1.0084548377790017,1.0061475859881177,1.1832704380284331,0.3363071218873508,baryon_triplet,False,False
pion_plus,u dbar,15,24,1.6,1.8666666666666667,1.0487089589883039,1.011299023882897,0.995413973079826,3.1530078643373236,0.8961425605377863,meson_open_path,False,False
kaon_plus,u sbar,21,32,1.5238095238095237,1.6666666666666665,1.018318598199126,1.0107570281365612,0.995413973079826,2.602037861062103,0.739546798408807,meson_open_path,False,False
