time_step,time,x,y,tau,I_magnitude,I_phase
0,0.0,0.0,0.0,1.000403575260093,0.8000000000000002,1.0
0,0.0,0.6411413578754679,0.0,1.9587663381505673,0.9435465273178919,1.9586678530366606
0,0.0,1.2822827157509358,0.0,1.5460635630182427,1.0300802847287982,1.545534901210549
0,0.0,1.9234240736264039,0.0,0.3519245656483595,1.0252324212919428,0.3517716046922118
0,0.0,2.5645654315018716,0.0,0.0856001560965391,0.9309283762905317,0.08558737698418717
0,0.0,3.2057067893773397,0.0,1.128266833706844,0.7846231472046289,1.1278771616845051
0,0.0,3.8468481472528078,0.0,1.9872170607385453,0.644425185126131,1.9871817834144498
0,0.0,4.487989505128276,0.0,1.4340652156082312,0.5660173010763625,1.4338837391175585
0,0.0,5.129130863003743,0.0,0.25975272410371325,0.5805409704762049,0.2597220029246857
0,0.0,5.770272220879211,0.0,0.14487467497942283,0.6822277875190549,0.14485723699465292
0,0.0,0.0,0.6411413578754679,-0.3459241033101774,0.943546527317892,-0.34536505442130727
0,0.0,0.6411413578754679,0.6411413578754679,0.6140592594197676,1.0300802847287984,0.6133027986153533
0,0.0,1.2822827157509358,0.6411413578754679,0.20051073522834262,1.0252324212919426,0.20016984678924177
0,0.0,1.9234240736264039,0.6411413578754679,-0.9947327246726211,0.9309283762905317,-0.9935934497290955
0,0.0,2.5645654315018716,0.6411413578754679,-1.2605535609453355,0.7846231472046291,-1.25977767743712
0,0.0,3.2057067893773397,0.6411413578754679,-0.2176528260918162,0.6444251851261309,-0.217487892736802
0,0.0,3.8468481472528078,0.6411413578754679,0.64205017265279,0.5660173010763624,0.6418167289931428
0,0.0,4.487989505128276,0.6411413578754679,0.0885699924010076,0.5805409704762051,0.08851868469625121
0,0.0,5.129130863003743,0.6411413578754679,-1.0862649618039144,0.6822277875190547,-1.0856430514966213
0,0.0,5.770272220879211,0.6411413578754679,-1.2013993696497884,0.8306905188042811,-1.2005078174266544
0,0.0,0.0,1.2822827157509358,-0.7623415942370114,1.0300802847287984,-0.7614459583691349
0,0.0,0.6411413578754679,1.2822827157509358,0.19735205179996754,1.0252324212919426,0.1972218946675257
0,0.0,1.2822827157509358,1.2822827157509358,-0.21610367303536449,0.9309283762905318,-0.21591105715858586
0,0.0,1.9234240736264039,1.2822827157509358,-1.4102686040545875,0.784623147204629,-1.4096743536769232
0,0.0,2.5645654315018716,1.2822827157509358,-1.6761531858056673,0.6444251851261309,-1.6758585813849476
0,0.0,3.2057067893773397,1.2822827157509358,-0.6337984320111275,0.5660173010763624,-0.6335687966846297
0,0.0,3.8468481472528078,1.2822827157509358,0.22578177548758419,0.580540970476205,0.22573582504531517
0,0.0,4.487989505128276,1.2822827157509358,-0.3277307699597829,0.682227787519055,-0.3275622192515764
0,0.0,5.129130863003743,1.2822827157509358,-1.502338926973611,0.8306905188042812,-1.501723955444449
0,0.0,5.770272220879211,1.2822827157509358,-1.6172985454790394,0.9669638121448365,-1.616588721374482
0,0.0,0.0,1.9234240736264039,0.8720978822179415,1.0252324212919426,0.8713187041233893
0,0.0,0.6411413578754679,1.9234240736264039,1.8303227789820398,0.9309283762905317,1.82998655716005
0,0.0,1.2822827157509358,1.9234240736264039,1.4173463647276148,0.7846231472046291,1.4168536053339384
0,0.0,1.9234240736264039,1.9234240736264039,0.22315755483192556,0.644425185126131,0.22309030881560124
0,0.0,2.5645654315018716,1.9234240736264039,-0.0431000771927709,0.5660173010763624,-0.04309391889242342
0,0.0,3.2057067893773397,1.9234240736264039,0.999470701529269,0.5805409704762049,0.9991958658078945
0,0.0,3.8468481472528078,1.9234240736264039,1.8586713604555818,0.6822277875190549,1.8585004875378395
0,0.0,4.487989505128276,1.9234240736264039,1.305784229942339,0.8306905188042814,1.305202443240948
0,0.0,5.129130863003743,1.9234240736264039,0.13111787380862414,0.9669638121448365,0.13104070704807513
0,0.0,5.770272220879211,1.9234240736264039,0.01618473682986465,1.036923628019468,0.01617594111804233
0,0.0,0.0,2.5645654315018716,0.15986766092930613,0.9309283762905318,0.15959989503338062
0,0.0,0.6411413578754679,2.5645654315018716,1.1190382148582991,0.784623147204629,1.1182677480700411
0,0.0,1.2822827157509358,2.5645654315018716,0.7056157469872714,0.6444251851261309,0.7051347962439297
0,0.0,1.9234240736264039,2.5645654315018716,-0.48888314741138966,0.5660173010763624,-0.48862850027440763
0,0.0,2.5645654315018716,2.5645654315018716,-0.7551436533187775,0.5805409704762049,-0.7548127279824322
0,0.0,3.2057067893773397,2.5645654315018716,0.28773618896458875,0.6822277875190548,0.2874770567178859
0,0.0,3.8468481472528078,2.5645654315018716,1.1476316177167827,0.8306905188042814,1.1467816784478306
0,0.0,4.487989505128276,2.5645654315018716,0.5944396585335721,0.9669638121448367,0.5934836341509391
0,0.0,5.129130863003743,2.5645654315018716,-0.5816178293953483,1.036923628019468,-0.5806781020419336
