fermion,sector,tau,color_dim,weak_dim,Y,T3,Q,generation_index,y_eff_validation,A_required_minus_ln_y,S_required,A_no_input_candidate,S_no_input_candidate,A_residual_candidate_minus_required,feature_intercept,feature_log_tau,feature_abs_log_tau,feature_log_tau_sq,feature_colorless,feature_colored,feature_weak_dim_minus_1,feature_abs_Y,feature_abs_Q,feature_T3,feature_generation_index,feature_up_type,feature_down_type,feature_charged_lepton,A_diagnostic_fit_rep_only,A_diagnostic_fit_full_basis,residual_rep_only,residual_full_basis
e,charged_lepton,4.0,1,2,-0.5,-0.5,-1.0,1,2.9350241468946925e-06,12.738794877496698,0.11710965220908368,5.31748811353631,0.04888446588477813,-7.421306763960388,1.0,1.3862943611198906,1.3862943611198906,1.9218120556728056,1,0,1,0.5,1.0,-0.5,1,0,0,1,8.243598362642082,12.154507487600394,-4.495196514854616,-0.5842873898963035
mu,charged_lepton,1.0,1,2,-0.5,-0.5,-1.0,2,0.0006068699033807536,7.4071961170907095,0.06809546503094581,6.703782474656202,0.06162887789952496,-0.7034136424345077,1.0,0.0,0.0,0.0,1,0,1,0.5,1.0,-0.5,2,0,0,1,8.243598362642082,7.620189150688649,0.8364022455513727,0.21299303359793953
tau,charged_lepton,10.0,1,2,-0.5,-0.5,-1.0,3,0.010205748966120778,4.584804093338846,0.04214879177983959,4.401197381662156,0.04046086773722119,-0.18360671167669018,1.0,2.302585092994046,2.302585092994046,5.301898110478399,1,0,1,0.5,1.0,-0.5,3,0,0,1,8.243598362642082,4.956098449637254,3.658794269303236,0.37129435629840835
u,up_quark,0.05,3,2,0.16666666666666666,0.5,0.6666666666666666,1,1.2406389792567159e-05,11.297298912225559,0.10385776356678268,8.184235792875416,0.07523890733132833,-3.1130631193501426,1.0,-2.995732273553991,2.995732273553991,8.974411854812963,0,1,1,0.16666666666666666,0.6666666666666666,0.5,1,1,0,0,5.408695880679152,10.589061772878953,-5.888603031546407,-0.7082371393466058
c,up_quark,5.0,3,2,0.16666666666666666,0.5,0.6666666666666666,2,0.0072944977021112455,4.920634954468996,0.04523613526297427,3.5790656068873243,0.032902887006720796,-1.3415693475816717,1.0,1.6094379124341003,1.6094379124341003,2.5902903939802346,0,1,1,0.16666666666666666,0.6666666666666666,0.5,2,1,0,0,5.408695880679152,5.555319773072535,0.4880609262101556,0.6346848186035388
t,up_quark,100.0,3,2,0.16666666666666666,0.5,0.6666666666666666,3,0.9918793765177882,0.008153775342917486,7.495887984560384e-05,0.5833333333333333,0.005362670837043615,0.5751795579904158,1.0,4.605170185988092,4.605170185988092,21.207592441913597,0,1,1,0.16666666666666666,0.6666666666666666,0.5,3,1,0,0,5.408695880679152,0.08170609608599566,5.400542105336235,0.07355232074307817
d,down_quark,0.1,3,2,0.16666666666666666,-0.5,-0.3333333333333333,1,2.6823074227448438e-05,10.526248062240827,0.09676937744034128,7.574421945648804,0.0696327971578183,-2.9518261165920228,1.0,-2.3025850929940455,2.3025850929940455,5.301898110478397,0,1,1,0.16666666666666666,0.3333333333333333,-0.5,1,0,1,0,7.262034819776828,11.65337068122339,-3.264213242463999,1.127122618982563
s,down_quark,0.4,3,2,0.16666666666666666,-0.5,-0.3333333333333333,2,0.0005364614845489687,7.530515788686836,0.06922916127066411,6.188127584528913,0.056888385143071464,-1.3423882041579231,1.0,-0.916290731874155,0.916290731874155,0.8395887053184746,0,1,1,0.16666666666666666,0.3333333333333333,-0.5,2,0,1,0,7.262034819776828,7.013641757006109,-0.2684809689100085,-0.516874031680727
b,down_quark,10.0,3,2,0.16666666666666666,-0.5,-0.3333333333333333,3,0.024008661728208664,3.7293406084028313,0.0342843876378589,2.9692517596607124,0.027296776833210756,-0.7600888487421189,1.0,2.302585092994046,2.302585092994046,5.301898110478399,0,1,1,0.16666666666666666,0.3333333333333333,-0.5,3,0,1,0,7.262034819776828,3.1190920211010074,3.5326942113739963,-0.610248587301824
