position,tau_horizontal,rho_tau_horizontal,tau_vertical,rho_tau_vertical
0.0,-0.9819157622010839,0.06953383891179259,1.128266833706844,0.06862362303095162
0.1282282715750936,-0.7281591823512376,0.06539838418011401,1.05521342715099,0.08310656782400824
0.2564565431501872,-0.49098118385326484,0.054036909210117355,0.8467444816534577,0.13146872664408205
0.38468481472528077,-0.2859328171427892,0.0383711056882334,0.533099393120317,0.1812395041129185
0.5129130863003744,-0.1264306862269388,0.022444961258175324,0.16007093637865438,0.20429833112423518
0.6411413578754679,-0.02289253914505187,0.010357544552671193,-0.2176528260918162,0.18756526685371583
0.7693696294505615,0.017927574391679215,0.0052138643333681746,-0.5447042862255143,0.14055014414535733
0.8975979010256552,-0.006631487310237744,0.008333818503044318,-0.7733212139055374,0.08982140996801513
1.0258261726007487,-0.09496642538403774,0.018915482736517553,-0.8702370430847001,0.06389178691045827
1.1540544441758422,-0.24130864999570595,0.034238192825749116,-0.821364837993924,0.07729332816691406
1.2822827157509358,-0.43609228053380533,0.05035775942646574,-0.6337984320111275,0.1225105132983034
1.4105109873260295,-0.6665725201408782,0.0631204513893073,-0.3348367892732003,0.17413355001556644
1.538739258901123,-0.9176591958959744,0.06923649414094031,0.031873770562930864,0.20304605478498142
1.6669675304762166,-1.1729120197223113,0.06713206992381048,0.41264280089088534,0.19289044105598763
1.7951958020513104,-1.4156267493523738,0.05735402706614471,0.7516929148172479,0.1494241318982021
1.9234240736264039,-1.6299326860768422,0.042423260431984564,0.999470701529269,0.09720068437896216
2.0516523452014974,-1.8018264874189178,0.026181428015404302,1.1198773394514119,0.06560191379404705
2.179880616776591,-1.920079715446677,0.012803557355869011,1.0954161786066403,0.0723509263637662
2.3081088883516845,-1.976968361271478,0.005727422871897201,0.9296576878272415,0.11366567955184435
2.436337159926778,-1.968779067860723,0.0067703092239920154,0.6466969394058412,0.16638456060448928
2.5645654315018716,-1.8960544116724618,0.015661086208108462,0.28773618896458875,0.20083437125127135
2.6927937030769655,-1.7635547120077533,0.030112091020290766,-0.09473581868730978,0.19748700690832124
2.821021974652059,-1.5799379619589569,0.04641151505095148,-0.4446079420669673,0.15820211757856623
2.9492502462271526,-1.3571875249511571,0.060376348794229526,-0.7106212432851016,0.10524261630096099
3.077478517802246,-1.109837172472995,0.06841788733458966,-0.8540193970222927,0.06846330756845184
3.2057067893773397,-0.8540442720602173,0.06845752329052579,-0.8540442720602173,0.06845752329052579
3.333935060952433,-0.6065524786819915,0.06047048542949082,-0.7107203734464183,0.10522959072899987
3.4621633325275267,-0.3835903414816261,0.046509449056630604,-0.4447684955359231,0.15825534994002738
3.5903916041026207,-0.19978040038994435,0.030179735660374116,-0.09479587755627394,0.19770707505084953
3.7186198756777142,-0.06715665995332544,0.015697025598677507,0.28796621577694853,0.20113103825499776
3.8468481472528078,0.005623036072429561,0.006789824247940966,0.6471816790673555,0.16654953775698245
3.9750764188279013,0.013820826906165817,0.005744122424327353,0.9301650132440215,0.11368521790786534
4.103304690402995,-0.043096501230866564,0.012828339807268597,1.0958120314803474,0.07235417729457787
4.231532961978089,-0.16143074149059478,0.02622835023523201,1.1202688313780496,0.06560424833812535
4.359761233553182,-0.3334764601346657,0.042502047718091365,1.0000461499758948,0.09717000538590623
4.487989505128276,-0.5479905899115124,0.057450326145821594,0.7524319637566648,0.14951341233984752
4.616217776703369,-0.7909046934834025,0.06720283147366521,0.41320743393683296,0.19329004572140057
4.744446048278463,-1.046260811258072,0.0692389430379314,0.0319209592529524,0.203592320187364
4.872674319853556,-1.2973037588719338,0.06305013268086324,-0.33525138130523385,0.17447290785225733
5.00090259142865,-1.527615771224646,0.05025267341539462,-0.6343139738613061,0.12259936517516344
5.129130863003743,-1.7221840297446789,0.03414483784843233,-0.8217491729321866,0.07732344822188578
5.257359134578837,-1.8683427119140423,0.018855740084675346,-0.870546300946336,0.06393423524036072
5.385587406153931,-1.9565683858893201,0.008301408336475326,-0.7736846566109614,0.08986699323729522
5.513815677729024,-1.981098816472108,0.005190147358777283,-0.5450759985999457,0.14068678397272757
5.642043949304118,-1.9403226309676482,0.010324326660111436,-0.21782808087999558,0.18783805367565537
5.770272220879211,-1.8368922838045814,0.022389910406813894,0.16018582386699506,0.2045420205958665
5.898500492454305,-1.6775473457953025,0.0382938816461914,0.533349428688775,0.18130762417010166
6.026728764029398,-1.4726727168784137,0.05395560634141647,0.8469275307269137,0.13143521435786842
6.154957035604492,-1.2356334018169368,0.06534205900995686,1.0552816775080316,0.08308328307399131
6.283185307179586,-0.9819414618796437,0.06950135962866205,1.1282692917708381,0.06861424141576734
