x,y,tau,rho_tau,lambda_plasma,I_magnitude,I_phase
0.0,0.0,1.000403575260093,0.06968768575214981,19675972928045.312,0.8000000000000002,1.0
0.1282282715750936,0.0,1.2540944066363282,0.06552746983266457,22673224110442.098,0.8306905188042815,1.2536545839095075
0.2564565431501872,0.0,1.4911297841736424,0.05414165126310439,26161024368405.227,0.8608771001382819,1.4907175520039377
0.38468481472528077,0.0,1.6959988795120868,0.03848300450268281,30182568335922.72,0.8900640811710496,1.6956825506034865
0.5129130863003744,0.0,1.8553389533409728,0.02258301972455794,34763191949183.668,0.9177722124809451,1.855142763005346
0.6411413578754679,0.0,1.9587663381505673,0.01052056162001774,39893493362576.61,0.9435465273178919,1.9586678530366606
0.7693696294505615,0.0,1.9995414574465764,0.005387895894773465,45505538803536.76,0.9669638121448366,1.999486216200688
0.8975979010256552,0.0,1.9750113018729096,0.008499224303488293,51443543820253.4,0.9876395557923271,1.9749279121818235
1.0258261726007487,0.0,1.8867867799139493,0.019052741114648972,57435452343589.164,1.0052342631212832,1.8865993063730002
1.1540544441758422,0.0,1.7406298382881193,0.034340876130759215,63079517432848.37,1.019459029523795,1.7402779970753157
1.2822827157509358,0.0,1.5460635630182427,0.05044835082423554,67866702860300.05,1.0300802847287982,1.545534901210549
1.4105109873260295,0.0,1.3157532934875207,0.06324637184442684,71256572206517.17,1.0369236280194678,1.3151082180236209
1.538739258901123,0.0,1.0647114089803218,0.06943620419811024,72801902733184.83,1.0398766918881654,1.0640702199807133
1.6669675304762166,0.0,0.8093554369629241,0.06740066175573908,72280278655904.44,1.0388909871078076,0.808841371298628
1.7951958020513104,0.0,0.566440486554955,0.057647691520780295,69768098793163.33,1.0339826989236378,0.5661162608824418
1.9234240736264039,0.0,0.3519245656483595,0.04269806279335645,65614544288427.34,1.0252324212919428,0.3517716046922118
2.0516523452014974,0.0,0.17987642749768754,0.026422737782666888,60330869497003.734,1.01278383352952,0.17982774540304436
2.179880616776591,0.0,0.06153985395178879,0.013021424436761587,54454862111199.734,0.9968413411032697,0.06153157795023977
2.3081088883516845,0.0,0.004621185856883871,0.005936586711725464,48447798075961.18,0.9776667192980758,0.004620887050801881
2.436337159926778,0.0,0.01281916428720079,0.006982436943959281,42646612912092.03,0.9555748148738692,0.012818216585549715
2.5645654315018716,0.0,0.0856001560965391,0.01589042340947937,37262181733356.164,0.9309283762905317,0.08558737698418717
2.6927937030769655,0.0,0.21822484133834366,0.03037437981791411,32402523874372.203,0.9041320973882141,0.2181685175319701
2.821021974652059,0.0,0.40203364415121845,0.046705863219326155,28102911338568.363,0.8756259723256691,0.4018894695087838
2.9492502462271526,0.0,0.6249918983748647,0.060669504893498906,24352840532456.023,0.8458780708883294,0.6247329951206255
3.077478517802246,0.0,0.8724783127728903,0.06865996526756295,21116345224667.734,0.8153768527953713,0.8721228383154932
3.2057067893773397,0.0,1.128266833706844,0.06862362303095162,18345699992242.14,0.7846231472046289,1.1278771616845051
3.333935060952433,0.0,1.3756157604809167,0.06058378314252101,15989909748385.254,0.7541219291116708,1.3752670048793734
3.4621633325275267,0.0,1.5983678386777418,0.04661832063179301,13999553087290.965,0.7243740276743312,1.598110530491215
3.5903916041026207,0.0,1.7819878321836615,0.030316606666946105,12329267296673.523,0.6958679026117861,1.7818314824680295
3.7186198756777142,0.0,1.914490600007322,0.01586306617967847,10938795670589.209,0.6690716237094684,1.9144126230158123
3.8468481472528078,0.0,1.9872170607385453,0.006970585310387789,9793204655314.604,0.644425185126131,1.9871817834144498
3.9750764188279013,0.0,1.9954067038453904,0.00592708562650703,8862654124479.451,0.6223332807019244,1.9953791129491982
4.103304690402995,0.0,1.9385174204245754,0.013003287863600006,8121963474120.832,0.6031586588967307,1.9384684220497608
4.231532961978089,0.0,1.8202634264647097,0.02638116723080228,7550142544378.711,0.5872161664704801,1.8201722545969559
4.359761233553182,0.0,1.6483696855666117,0.04262228768014616,7130026177039.053,0.5747675787080576,1.6482283953077892
4.487989505128276,0.0,1.4340652156082312,0.0575515117387597,6848127910612.041,0.5660173010763625,1.4338837391175585
4.616217776703369,0.0,1.1913531002560618,0.06732778765428224,6694764371587.226,0.5611090128921925,1.1911586287013733
4.744446048278463,0.0,0.9361029645270491,0.06943105142583127,6664374744883.798,0.560123308111835,0.9359297800192877
4.872674319853556,0.0,0.6850178521452814,0.06331476400756958,6755827755102.202,0.563076371980532,0.684891781976381
5.00090259142865,0.0,0.4545375620925558,0.050552349231682024,6972497316598.288,0.5699197152712013,0.4544650987894521
5.129130863003743,0.0,0.25975272410371325,0.034433003665057894,7322050569218.233,0.5805409704762049,0.2597220029246857
5.257359134578837,0.0,0.11340904267969242,0.019110227419145597,7816103751038.347,0.5947657368787169,0.11340069362700045
5.385587406153931,0.0,0.02507310599769372,0.008528356618077805,8469981307236.05,0.6123604442076729,0.02507208781817649
5.513815677729024,0.0,0.0005138006491908165,0.005408304773805168,9302726642790.834,0.6330361878551631,0.0005137837993121064
5.642043949304118,0.0,0.041334587293663606,0.010552137446104191,10337369922518.72,0.6564534726821082,0.0413321469633392
5.770272220879211,0.0,0.14487467497942283,0.022639868988975517,11601361609105.832,0.6822277875190549,0.14485723699465292
5.898500492454305,0.0,0.304380433933644,0.03856603149994134,13127042520315.42,0.70993591882895,0.30431744939651295
6.026728764029398,0.0,0.5094339547817721,0.05423077820366579,14952000037012.53,0.7391228998617181,0.5092824479960605
6.154957035604492,0.0,0.746617287053864,0.06558964527084833,17119111727128.92,0.7693094811957185,0.7463454160904915
6.283185307179586,0.0,1.0003771317579075,0.06972258896884224,19675972928045.305,0.7999999999999998,0.9999999999999994
0.0,0.1282282715750936,0.9274059874384093,0.08416965944541437,22549635627128.97,0.8306905188042815,0.9269167573460216
0.1282282715750936,0.1282282715750936,1.1811258051422715,0.0799910422092714,25740258394910.277,0.8608771001382819,1.1805713412555292
0.2564565431501872,0.1282282715750936,1.418179386805267,0.06858633261421446,29396201896993.254,0.8900640811710497,1.4176343093499595
0.38468481472528077,0.1282282715750936,1.623054210232601,0.052914554071163196,33547607597610.12,0.9177722124809451,1.6225993079495082
0.5129130863003744,0.1282282715750936,1.7823914695274337,0.03700887336829809,38202839611709.76,0.943546527317892,1.7820595203513678
0.6411413578754679,0.1282282715750936,1.8858144973757378,0.02494524902282941,43331445350740.88,0.9669638121448367,1.8855846103826823
0.7693696294505615,0.1282282715750936,1.9265899586053024,0.01981144271587687,48841004488066.96,0.9876395557923272,1.9264029735467096
