case,D_disk_plus_epsilon,nearest_integer,residual_to_int,abs_residual
DUNE-like atmospheric,1.554514512243695,2,-0.44548548775630503,0.44548548775630503
T2K-like atmospheric,1.5257989779227243,2,-0.47420102207727566,0.47420102207727566
NOvA-like atmospheric,1.4379632258821085,1,0.43796322588210845,0.43796322588210845
Daya Bay reactor atm,1.4328957786489962,1,0.4328957786489962,0.4328957786489962
KamLAND solar,2.839924024322113,3,-0.1600759756778869,0.1600759756778869
JUNO solar,1.561158184939289,2,-0.43884181506071096,0.43884181506071096
"Solar 1 AU, 1 MeV",4518913.9415685525,4518914,-0.058431447483599186,0.058431447483599186
