i,j,F_dir,F_sym_abs,F_sym_cos
e,mu,1.002358972498,1.002358972498,1.008731229188
mu,e,0.997646579157,1.002358972498,1.008731229188
e,tau,1.004723509747,1.004723509747,1.007824682705
tau,e,0.995298696904,1.004723509747,1.007824682705
nu1,nu3,1.004723509747,1.004723509747,1.007824682705
nu3,nu1,0.995298696904,1.004723509747,1.007824682705
d,t,1.020950964928,1.020950964928,0.993995921495
t,d,0.979478970443,1.020950964928,0.993995921495
