slot,v46_abs_rel_error,v47_abs_rel_error,error_improvement_positive_is_better,v46_predicted_mev,v47_predicted_mev
e,0.0,0.0,0.0,0.51099895,0.51099895
mu,17.228562729731273,16.42228526326484,0.8062774664664332,1926.0003257232518,1840.810358414153
tau,1.1819717766285947,0.6293931162293175,0.5525786603992772,3877.058371020284,658.5165474967749
u,0.0,0.0,0.0,2.16,2.16
d,28.601713062098504,1.7638176910142893,26.837895371084215,138.24,12.907028617036731
s,1.107387580299787,0.9119385943606504,0.19544898593913662,196.83000000000013,8.224935286715258
c,0.0,0.0,0.0,1270.0,1270.0
b,27.272460815261937,0.8661751550258874,26.40628566023605,118178.8862077949,7800.612148008209
t,0.005461499745778919,0.005461499745778253,6.661338147750939e-16,173703.52869608076,173703.52869608064
