fermion,class,assigned_generation_v10,seed_p,seed_q,generation_damping_unit,representation_action_unit,chiral_gate_unit,total_structural_action_unit_v10,total_structural_action_kappa_v10,uses_observed_mass_as_input,prediction_status,zeta_tetrahedral_action_norm_v11,zeta_tetrahedral_action_kappa_v11,total_structural_action_unit_v11,total_structural_action_kappa_v11
e,charged_lepton,1,3,5,0.8471633855025916,2.5,2.0,5.347163385502592,0.0491572751114436,False,ordinal_structure_only_not_numeric_mass_prediction,0.4372890396205249,0.004020063737368799,5.784452425123117,0.053177338848812504
d,down_quark,1,3,5,0.8471633855025916,1.0876164691516157,2.0,3.934779854654207,0.0361730214458414,False,ordinal_structure_only_not_numeric_mass_prediction,0.4372890396205249,0.004020063737368799,4.372068894274732,0.04019308518321023
u,up_quark,1,3,5,0.8471633855025916,0.9209498024849488,2.0,3.76811318798754,0.0346408297781146,False,ordinal_structure_only_not_numeric_mass_prediction,0.4372890396205249,0.004020063737368799,4.205402227608065,0.03866089351548348
mu,charged_lepton,2,5,7,0.6088811663290957,2.5,2.0,5.108881166329096,0.0469667109267332,False,ordinal_structure_only_not_numeric_mass_prediction,0.9157165038925612,0.0084183191835843,6.024597670221657,0.05538503011031758
s,down_quark,2,5,7,0.6088811663290957,1.0876164691516157,2.0,3.696497635480711,0.033982457261131,False,ordinal_structure_only_not_numeric_mass_prediction,0.9157165038925612,0.0084183191835843,4.612214139373272,0.04240077644471531
c,up_quark,2,5,7,0.6088811663290957,0.9209498024849488,2.0,3.529830968814045,0.0324502655934042,False,ordinal_structure_only_not_numeric_mass_prediction,0.9157165038925612,0.0084183191835843,4.445547472706606,0.04086858477698856
tau,charged_lepton,3,11,13,0.2392639324469407,2.5,2.0,4.73926393244694,0.0435687642507186,False,ordinal_structure_only_not_numeric_mass_prediction,0.5052577199992718,0.004644910011824989,5.244521652446212,0.048213674262543596
b,down_quark,3,11,13,0.2392639324469407,1.0876164691516157,2.0,3.326880401598556,0.0305845105851163,False,ordinal_structure_only_not_numeric_mass_prediction,0.5052577199992718,0.004644910011824989,3.8321381215978274,0.03522942059694132
t,up_quark,3,11,13,0.2392639324469407,0.9209498024849488,2.0,3.1602137349318893,0.0290523189173895,False,ordinal_structure_only_not_numeric_mass_prediction,0.5052577199992718,0.004644910011824989,3.6654714549311613,0.033697228929214576
