white_thread_pre_CKM_not_CKM,down_d_generation_1,down_s_generation_2,down_b_generation_3
up_u_generation_1,0.40923698590418567,0.42125751604075806,0.24721654499317047
up_c_generation_2,0.24273860188209057,0.2361961887844993,0.41544523219348306
up_t_generation_3,0.2653425764457501,0.26957519099026234,0.3763372596224964
