zero_index,gamma,theta,depth_r,w_apex,w_base_1,w_base_2,w_base_3,x,y,z
1,14.134725141734695,1.5683545273755222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,21.022039638771556,2.1724837172327973,0.15828526762744466,0.8417147323725553,0.014488356507361614,0.12427335261999795,0.019523558500085088,-0.05412676046498847,0.08552784875179206,0.7889529764967405
3,25.01085758014569,6.161301658606931,0.2255501168695076,0.7744498831304922,0.17648166217771294,0.018924102083289596,0.030144352608505006,0.14325741540463716,-0.009161296190990905,0.6992665108406564
4,30.424876125859512,5.2921348971411675,0.2988872160611216,0.7011127839388784,0.15577548672492142,0.0031760837847735375,0.13993564555142665,0.07940302115379533,-0.11166371459164641,0.6014837119185046
5,32.93506158773919,1.5191350518412605,0.32763665301271766,0.6723633469872823,0.09167261248030939,0.22577928409327547,0.01018475643913283,-0.024804747539211122,0.17603219469633552,0.5631511293163763
6,37.586178158825675,6.1702516229277435,0.37420301209139084,0.6257969879086092,0.2930349745888917,0.03196381622337019,0.04920422127912895,0.23801304371976323,-0.014076731781836105,0.5010626505448122
7,40.9187190121475,3.219607169069981,0.4032002506905614,0.5967997493094386,0.004552397225339676,0.1845020285762314,0.21414582488899034,-0.18363235906222294,-0.02420405833508559,0.46239966574591806
8,43.327073280915,5.6279614378374845,0.4222798936572155,0.5777201063427845,0.2793333162508572,0.010815933154166032,0.13213064425219231,0.19597231335544768,-0.0990530468277733,0.4369601417903793
9,48.00515088116716,4.022853730910057,0.455561454595169,0.544438545404831,0.034964784852659185,0.0659022147891359,0.3546944549533739,-0.165306056250213,-0.23579787669255903,0.39258472720644133
10,49.7738324776723,5.791535327415197,0.4670151940467209,0.5329848059532791,0.333815246926046,0.017665355274945102,0.11553459184572981,0.25193297577801277,-0.07990989703805247,0.3773130746043722
11,52.970321477714464,2.704839020277774,0.48635645488474166,0.5136435451152583,0.013893973917656816,0.32941462615511374,0.1430478548119711,-0.20962158519895838,0.15216783160021527,0.3515247268203445
12,56.44624769706339,6.180765239626702,0.5056261858722657,0.49437381412773435,0.39630058312456445,0.044104642602423326,0.06522096014527795,0.3220991895806127,-0.01724140107552496,0.32583175217031246
13,59.34704400260235,2.7983762379860764,0.5204736451368913,0.47952635486310874,0.011811863454795088,0.33482544449607715,0.17383633718601915,-0.22864913177544743,0.13144705568526913,0.3060351398174783
14,60.83177852460981,4.283110759993534,0.5276813297447138,0.4723186702552862,0.06706265031057887,0.04677501904985154,0.41384366038428344,-0.15391045478077633,-0.2997102906153494,0.29642489367371494
15,65.1125440480816,2.28069097628574,0.5471288775159762,0.4528711224840239,0.04027805743479493,0.42479459687863325,0.08205622320254802,-0.2009572512260244,0.2798447102592529,0.2704948299786985
16,67.07981052949417,4.2479574576983055,0.5554608997443937,0.4445391002556063,0.06614795962824735,0.05276730560953804,0.43654563450660827,-0.16829943763258587,-0.31335369337861413,0.25938546700747506
17,69.54640171117398,0.4313633321985364,0.5654212821949413,0.43457871780505875,0.41336821879919217,0.12750837462132708,0.02454468877442201,0.3180487927016696,0.08406949745371448,0.2461049570734117
18,72.0671576744819,2.9521192955064564,0.5750830438291968,0.42491695617080316,0.008780233248691285,0.33383121299376417,0.23247159758674144,-0.25867962175025205,0.08275977942398331,0.23322260822773755
19,75.70469069908393,0.30646701292889134,0.5881854962958993,0.41181450370410067,0.44614482654445686,0.1084134872649933,0.033627182486449206,0.35367076246415935,0.0610627621519001,0.21575267160546754
20,77.1448400688748,1.7466163827197647,0.5931199077455394,0.4068800922544607,0.11703461852215229,0.445083251984154,0.031002037239233168,-0.11408746110121774,0.3380958960656273,0.20917345633928092
21,79.33737502024937,3.9391513340943334,0.6003764422108436,0.39962355778915637,0.03873965445156884,0.10052575712493046,0.4611110306343443,-0.2282340243075714,-0.29441664295332526,0.19949807705220854
22,82.91038085408603,1.2289718607514075,0.6115856506277708,0.3884143493722292,0.24945142895880296,0.35298571244057597,0.009148509228391867,0.06447335343003216,0.28074190081850003,0.1845524658296389
23,84.73549298051705,3.0540839871824303,0.6170375509238302,0.38296244907616983,0.007151565232072896,0.33036628863312084,0.2795196970586364,-0.2807604504599266,0.041516068172395074,0.17728326543489314
24,87.42527461312523,5.743865619790604,0.6247596103158009,0.3752403896841992,0.43768853120345524,0.0211466777247783,0.1659244013875673,0.32447055221257426,-0.11821051636516636,0.16698718624559894
25,88.80911120763446,0.8445169071202514,0.628594932132112,0.37140506786788796,0.3684607913671694,0.25019554418239187,0.009938596582550772,0.22475975560076505,0.19616897625940208,0.16187342382385062
26,92.49189927055849,4.527304970044284,0.6383771411637518,0.36162285883624823,0.12406929151799434,0.034049285730178194,0.48025856391557925,-0.1254733955754784,-0.3643283500166085,0.14883047844833094
27,94.65134404051989,0.40356443282609433,0.6438434613375734,0.3561565386624266,0.47511662393784976,0.13897743614510272,0.02974940125462103,0.3684056549255467,0.08918431702953265,0.14154205154990207
28,95.87063422824531,1.6228546205515144,0.6468470787226681,0.35315292127733194,0.15521058966524123,0.4660098891088365,0.025626599948590397,-0.08542571624182865,0.35957144989704704,0.1375372283697759
29,98.83119421819369,4.583414610499894,0.653904167312755,0.346095832687245,0.139157342085172,0.030822688375998344,0.48392413685158475,-0.11145518015468542,-0.3699557834937165,0.12812777691632662
30,101.31785100573138,0.7868860908580046,0.6595869935466964,0.3404130064533037,0.40258771660969495,0.24487667946614017,0.012122597470861352,0.258412718261369,0.19004291214611674,0.12055067527107156
31,103.72553804047834,3.194573125604961,0.6648895645656921,0.3351104354343079,0.007003314067159734,0.3123152139682959,0.3455710365302365,-0.3035277648277123,-0.02715326541776362,0.11348058057907717
32,105.44662305232609,4.915658137452709,0.6685656411598377,0.33143435884016226,0.23006555154976757,0.014323954677595913,0.4241761349324742,0.01019695754822561,-0.3346429038638821,0.10857914512021635
33,107.1686111842764,0.3544609622234347,0.6721524538371594,0.32784754616284056,0.5034478627103042,0.1340818894128359,0.034622701714019315,0.395127089993038,0.08120808669793267,0.1037967282171208
34,111.02953554316967,4.215385321116706,0.6798807770936927,0.32011922290630734,0.07616414534970109,0.06880696374649407,0.5349096679974975,-0.21278650460078347,-0.3805712643821113,0.09349229720840979
35,111.87465917699264,5.060508954939671,0.6815172526526501,0.31848274734734994,0.28000589106312745,0.010025083363431142,0.39148627822609144,0.07471781478829534,-0.3114617613619671,0.09131032979646661
36,114.32022091545271,1.222885386220156,0.6861468037695001,0.3138531962304999,0.28184001447502305,0.39420797841071814,0.010098810883758934,0.07512926566674777,0.31362382198875727,0.08513759497399986
37,116.22668032085755,3.1293447916250017,0.6896505473891429,0.3103494526108571,0.006479332355784958,0.34558055823945705,0.3375906567939009,-0.3159412261125777,0.006523727212246105,0.08046593681447617
38,118.79078286597621,5.6934473367436595,0.6942244288085467,0.30577557119145327,0.4750763174858817,0.020845933683074674,0.19830217763959032,0.34459883716687967,-0.14489241645477147,0.07436742825527104
39,121.37012500242065,1.9896041660085118,0.6986728473611178,0.30132715263888227,0.0905138236242144,0.547502287666315,0.060656736070588434,-0.20135166184836317,0.3975077283177835,0.06843620351850968
40,122.94682929355258,3.566308457140444,0.701320071407102,0.29867992859289805,0.01945910835534878,0.20977182393254895,0.4720891391192042,-0.3030861172349752,-0.2141811909680446,0.06490657145719742
41,124.25681855434577,4.876297717933632,0.7034794369437671,0.29652056305623287,0.229893753407739,0.016635384138100912,0.4569502993979272,-0.006504522884740904,-0.35951562284112953,0.062027417408310526
42,127.5166838795965,1.8529777360047746,0.7087014255656606,0.2912985744343394,0.11700049606445853,0.545173977312516,0.04652695218868605,-0.16862136756396412,0.40714359110338905,0.05506476591245249
43,129.57870419995606,3.9149980563643396,0.7118976816347977,0.2881023183652023,0.04364672898225649,0.12420548278094952,0.5440454698715917,-0.27386598938336837,-0.34279791399625,0.05080309115360304
