gen_i,gen_j,mean,min,max
1,1,1.008952666592,1.008731229188,1.009040621774
1,2,1.007276598788,1.002332086499,1.009040621774
1,3,1.002085651426,0.993656246081,1.008731229188
2,1,1.007276598788,1.002332086499,1.009040621774
2,2,1.007616330874,1.004510140205,1.009040621774
2,3,1.004428683901,0.995510109830,1.009040621774
3,1,1.002085651426,0.993656246081,1.008731229188
3,2,1.004428683901,0.995510109830,1.009040621774
3,3,1.004894090202,0.997673339474,1.009040621774
