gen_i,gen_j,mean,min,max
1,1,1.000972718358,1.000000000000,1.002358972498
1,2,1.004553260546,1.000000000000,1.011850641428
1,3,1.011456899111,1.002358972498,1.021432190112
2,1,1.004553260546,1.000000000000,1.011850641428
2,2,1.003724742968,1.000000000000,1.009469331038
2,3,1.008358771000,1.000000000000,1.019028330307
3,1,1.011456899111,1.002358972498,1.021432190112
3,2,1.008358771000,1.000000000000,1.019028330307
3,3,1.007408768971,1.000000000000,1.016630127795
