transition,candidate_rule,source_field,candidate_release_action,target_release_action_from_v6_1_scoring_only,action_absolute_error,action_relative_error_abs,predicted_energy_ratio_from_candidate_release,target_energy_ratio_from_v6_1_scoring_only,energy_ratio_relative_error_abs,mass_prediction_claimed,absolute_action_derived,target_used_in_candidate_rule
e_to_mu,R_e_mu = eb_action_kappa_v16(e),e.eb_action_kappa_v16,0.049448007317,0.04901418717813788,0.0004338201388621177,0.008850909580228938,216.7594598899164,206.7682829876661,0.04832064549690274,False,False,False
mu_to_tau,R_mu_tau = OI * terminal_axis_signature(mu),mu.terminal_axis_signature * OI,0.027046966447594616,0.025946673251106167,0.0011002931964884492,0.042405944910164584,18.955198563340126,16.817029332426085,0.12714309933391665,False,False,False
e_to_tau,R_e_tau = R_e_mu + R_mu_tau,derived_sum_of_frozen_rules,0.07649497376459462,0.07496086042924405,0.0015341133353505704,0.02046552462933149,4108.718602695731,3477.2282800189596,0.18160738146111233,False,False,False
