variant,gate_class,debt9_closure_status,anchor,anchor_mass_GeV,non_anchor_count,median_abs_log_error_excluding_anchor,max_abs_log_error_excluding_anchor,targets_inside_zeta_heisenberg_band_excluding_anchor,charged_lepton_generation_order_pass,down_quark_generation_order_pass,up_quark_generation_order_pass,uses_observed_masses_as_inputs_other_than_anchor
EB_ONLY,COMPUTATIONAL_STRESS_TEST_PASS,NOT_CLOSED_NUMERIC_RATIOS_REMAIN_OPEN,e,0.00051099895,8,3.761700031885985,7.337474680225192,0,True,True,True,False
EB_MINUS_RAMANUJAN,COMPUTATIONAL_STRESS_TEST_PASS,NOT_CLOSED_NUMERIC_RATIOS_REMAIN_OPEN,e,0.00051099895,8,2.6294406190132653,5.370476888698751,0,True,True,True,False
EB_MINUS_RAMANUJAN_ZH_CENTER,COMPUTATIONAL_STRESS_TEST_PASS,NOT_CLOSED_NUMERIC_RATIOS_REMAIN_OPEN,e,0.00051099895,8,2.6289121852805852,5.370476888698751,0,True,True,True,False
