seed_p,seed_q,collatz_poincare_v04,tetra_poincare_v08,spin_fib_kepler_collatz_v09,collatz_poincare_v04_norm,tetra_poincare_v08_norm,spin_fib_kepler_collatz_v09_norm,integrated_damping_unit_v10,integrated_action_kappa_v10,assigned_generation_v10,hierarchy_role
3,5,0.4401774311797243,0.4556252208771034,1.4784901212956267,1.0,1.0,0.5414901565077748,0.8471633855025916,0.00778810008282152,1,lightest
5,7,0.3438029960264709,0.4490971475093807,1.5294875371159444,0.0,0.8266434989872872,1.0,0.6088811663290957,0.005597535898111105,2,middle
11,13,0.4129797750528312,0.4179682923535865,1.4182632819682304,0.7177917973408222,0.0,0.0,0.23926393244694075,0.0021995892220964277,3,heaviest
