,F_cal,F_berry
proton_uud,0.999528869823655,0.9999999999999999
neutron_udd,0.999528869823655,0.9999999999999999
pion_ud,0.9992933879783856,0.9999999999999999
kaon_us,1.002122835399999,0.9999999999999999
D_cd,0.9887539265984276,1.0
Upsilon_bb,1.0,1.0
